category,player,dealer_up,action,mean_ev,count
hard,9,10,double,0.000000,2
hard,9,10,stand,-1.000000,1
hard,8,9,double,-2.000000,1
hard,8,9,hit,-1.000000,2
hard,19,9,hit,-1.000000,2
hard,9,4,stand,1.000000,1
hard,9,4,double,2.000000,1
soft,17,J,double,-2.000000,1
hard,12,K,stand,-1.000000,1
hard,12,K,double,-2.000000,1
hard,12,K,hit,-1.000000,1
hard,10,7,double,2.000000,2
hard,10,7,stand,-1.000000,1
hard,10,7,hit,-1.000000,1
hard,14,10,stand,-1.000000,4
hard,14,10,hit,-1.000000,1
hard,14,5,hit,0.500000,4
hard,14,5,double,0.000000,2
hard,12,9,double,-1.333333,3
hard,12,9,stand,-1.000000,1
hard,12,9,hit,-1.000000,3
hard,13,3,stand,-1.000000,4
hard,13,3,double,-2.000000,1
hard,13,3,hit,-1.000000,1
hard,14,9,double,-2.000000,2
hard,14,9,stand,-1.000000,2
hard,14,9,hit,1.000000,1
hard,15,10,stand,-1.000000,4
hard,15,10,hit,-1.000000,2
hard,15,10,double,2.000000,3
pair,J,4,stand,1.000000,1
pair,J,4,double,-2.000000,1
hard,12,10,hit,-0.333333,3
hard,12,10,stand,-0.333333,3
hard,12,10,double,0.000000,4
hard,8,Q,stand,-1.000000,2
hard,8,Q,hit,-1.000000,1
hard,7,K,hit,0.000000,2
hard,7,K,double,-2.000000,2
hard,7,K,stand,-1.000000,1
soft,20,4,double,2.000000,1
hard,16,7,hit,-1.000000,1
hard,16,7,double,-2.000000,2
pair,2,2,double,-2.000000,1
soft,14,10,stand,-1.000000,1
soft,14,10,hit,-1.000000,1
hard,13,8,stand,-0.333333,3
hard,13,8,hit,-1.000000,1
hard,13,8,double,0.000000,4
soft,14,J,stand,-1.000000,1
soft,14,J,double,-2.000000,1
hard,12,Q,hit,-1.000000,3
hard,12,Q,double,-0.666667,3
hard,12,Q,stand,0.000000,2
hard,14,A,hit,-1.000000,2
hard,14,A,stand,-1.000000,1
hard,15,7,double,0.000000,2
hard,15,7,stand,-1.000000,2
hard,15,7,hit,1.000000,1
hard,9,9,double,0.000000,2
hard,10,2,double,0.666667,3
hard,10,2,stand,1.000000,2
hard,19,3,hit,-1.000000,2
hard,19,3,stand,1.000000,2
hard,14,8,stand,0.000000,2
hard,14,8,double,-2.000000,2
soft,18,3,hit,1.000000,1
hard,12,2,stand,-0.333333,3
hard,12,2,double,1.500000,4
hard,12,2,hit,-1.000000,1
hard,15,J,hit,-0.333333,3
hard,15,J,stand,-1.000000,1
hard,15,J,double,-2.000000,1
hard,11,3,double,2.000000,2
hard,11,3,hit,0.333333,3
hard,11,3,stand,1.000000,1
soft,13,6,double,2.000000,1
soft,13,6,hit,-1.000000,1
hard,17,3,hit,0.000000,2
hard,17,3,stand,-0.500000,4
hard,17,3,double,-2.000000,1
hard,20,6,stand,1.000000,3
hard,20,6,hit,-1.000000,1
hard,8,4,hit,1.000000,2
hard,8,4,double,-2.000000,1
hard,17,K,hit,0.000000,2
hard,17,K,stand,1.000000,1
hard,17,K,double,-2.000000,1
hard,16,3,double,1.200000,5
hard,16,3,stand,0.000000,4
hard,16,3,hit,0.000000,4
hard,15,4,double,-0.571429,7
hard,15,4,stand,1.000000,1
hard,15,4,hit,0.333333,3
hard,16,6,hit,-1.000000,2
hard,16,6,stand,0.000000,4
hard,8,7,stand,1.000000,1
hard,14,K,stand,-1.000000,2
hard,14,K,hit,-1.000000,2
hard,14,K,double,-2.000000,3
hard,19,7,stand,1.000000,1
hard,19,7,double,-2.000000,3
hard,19,7,hit,-1.000000,1
hard,12,5,hit,-0.333333,3
hard,12,5,double,-2.000000,1
hard,17,Q,hit,-1.000000,1
hard,17,Q,stand,-1.000000,1
hard,17,Q,double,-2.000000,1
soft,20,Q,stand,0.000000,1
hard,18,9,hit,-1.000000,1
hard,18,9,double,0.000000,2
hard,18,9,stand,-1.000000,1
hard,15,8,double,0.000000,2
hard,15,8,stand,-0.333333,3
hard,15,8,hit,0.000000,4
hard,11,7,hit,-0.500000,4
hard,11,7,double,2.000000,1
hard,11,7,stand,1.000000,1
hard,16,2,stand,1.000000,1
hard,16,2,hit,-0.333333,3
hard,16,2,double,0.000000,2
hard,19,A,stand,0.000000,2
hard,18,7,double,-2.000000,1
hard,18,7,hit,-1.000000,1
soft,19,Q,double,0.000000,2
hard,11,2,stand,0.000000,2
hard,11,2,double,2.000000,2
hard,11,2,hit,-0.500000,2
soft,20,3,double,-2.000000,1
soft,20,3,hit,1.000000,1
hard,20,2,stand,0.750000,4
hard,20,2,double,-2.000000,1
pair,J,9,hit,-1.000000,1
pair,J,9,split,0.000000,1
soft,20,6,stand,1.000000,1
pair,10,J,double,-2.000000,1
hard,13,7,stand,1.000000,1
soft,16,7,double,-1.000000,2
hard,16,4,stand,1.000000,1
hard,16,4,double,2.000000,1
hard,16,4,hit,1.000000,1
hard,12,8,hit,-1.000000,1
hard,12,8,stand,-1.000000,4
hard,12,8,double,0.000000,1
hard,7,8,stand,-1.000000,1
hard,7,8,double,0.000000,2
hard,7,5,double,-2.000000,1
hard,7,5,stand,0.000000,2
hard,14,4,double,0.000000,2
hard,14,4,hit,-1.000000,1
hard,14,4,stand,1.000000,1
hard,6,4,stand,-1.000000,1
hard,14,2,stand,-1.000000,2
hard,14,2,hit,-1.000000,2
hard,14,2,double,2.000000,1
hard,9,8,hit,-1.000000,1
hard,9,8,stand,-1.000000,1
hard,15,3,hit,-1.000000,2
hard,15,3,stand,-0.333333,3
hard,15,3,double,-2.000000,2
pair,5,8,hit,-1.000000,1
hard,17,9,stand,0.000000,2
hard,17,9,hit,-1.000000,2
pair,8,J,hit,0.000000,2
pair,8,J,double,2.000000,1
hard,6,J,double,-2.000000,2
hard,19,2,hit,-1.000000,1
hard,19,2,stand,-1.000000,1
hard,19,K,hit,-1.000000,5
hard,19,K,stand,1.000000,2
hard,11,6,double,0.000000,2
hard,11,6,stand,1.000000,1
pair,6,9,split,-4.000000,1
hard,13,10,stand,0.000000,2
hard,13,10,hit,-0.666667,3
hard,13,10,double,-2.000000,1
soft,14,9,stand,-1.000000,1
hard,15,5,stand,0.000000,2
hard,15,5,double,-1.000000,2
hard,15,5,hit,-1.000000,1
hard,18,6,stand,1.000000,1
hard,18,6,hit,-1.000000,3
hard,18,6,double,-2.000000,3
hard,15,K,double,2.000000,2
hard,15,K,hit,-1.000000,1
hard,15,K,stand,0.000000,2
hard,12,A,double,-2.000000,1
hard,17,5,stand,-1.000000,1
hard,17,5,double,-2.000000,2
hard,20,Q,stand,0.500000,2
hard,20,Q,double,-2.000000,3
hard,20,Q,hit,-1.000000,1
soft,17,A,stand,0.500000,2
soft,17,A,double,-2.000000,1
hard,13,K,hit,0.000000,2
hard,13,K,stand,-1.000000,4
hard,13,K,double,1.000000,4
pair,K,J,split,0.000000,1
pair,K,J,stand,0.000000,1
hard,9,5,hit,-1.000000,1
pair,6,K,double,2.000000,1
hard,20,7,double,-2.000000,6
hard,20,7,stand,0.666667,3
hard,20,7,hit,1.000000,1
hard,20,10,double,-2.000000,2
hard,20,10,stand,0.500000,4
hard,19,6,stand,0.000000,2
hard,19,6,hit,-1.000000,2
hard,18,5,stand,0.333333,3
hard,18,5,hit,-1.000000,1
hard,18,5,double,2.000000,1
hard,16,J,double,0.000000,4
hard,16,J,stand,0.000000,4
