pl_total,usable_ace,dealer_up,pair_rank,num_cards,after_split,splits_done,split_aces,can_double,can_split,action,q,n
9,0,10,0,2,0,0,0,1,0,double,-0.382514,1098
9,0,10,0,2,0,0,0,1,0,stand,-0.608108,888
9,0,10,0,2,0,0,0,1,0,hit,-0.169233,98663
8,0,9,0,2,0,0,0,1,0,double,-0.678082,584
8,0,9,0,2,0,0,0,1,0,hit,-0.264655,16905
8,0,9,0,2,0,0,0,1,0,stand,-0.556835,695
19,0,9,0,2,0,0,0,1,0,hit,-0.761379,725
19,0,9,0,2,0,0,0,1,0,stand,0.280613,34724
19,0,9,0,2,0,0,0,1,0,double,-1.475138,724
9,0,4,0,2,0,0,0,1,0,stand,-0.211594,690
9,0,4,0,2,0,0,0,1,0,double,0.178214,25879
9,0,4,0,2,0,0,0,1,0,hit,-0.070644,637
17,1,10,0,2,0,0,0,1,0,double,-0.400560,714
17,1,10,0,2,0,0,0,1,0,stand,-0.363276,757
17,1,10,0,2,0,0,0,1,0,hit,-0.211112,32163
12,0,10,0,2,0,0,0,1,0,stand,-0.568000,1375
12,0,10,0,2,0,0,0,1,0,hit,-0.389746,233147
12,0,10,0,2,0,0,0,1,0,double,-0.777669,1021
10,0,7,0,2,0,0,0,1,0,double,0.397179,25802
10,0,7,0,2,0,0,0,1,0,stand,-0.483969,655
10,0,7,0,2,0,0,0,1,0,hit,0.094946,653
14,0,10,0,2,0,0,0,1,0,stand,-0.547380,1794
14,0,10,0,2,0,0,0,1,0,hit,-0.472799,199241
14,0,10,0,2,0,0,0,1,0,double,-0.870804,983
14,0,5,0,2,0,0,0,1,0,hit,-0.431907,771
14,0,5,0,2,0,0,0,1,0,double,-0.629073,798
14,0,5,0,2,0,0,0,1,0,stand,-0.166854,53340
12,0,9,0,2,0,0,0,1,0,double,-0.743210,810
12,0,9,0,2,0,0,0,1,0,stand,-0.523926,815
12,0,9,0,2,0,0,0,1,0,hit,-0.367173,61761
13,0,3,0,2,0,0,0,1,0,stand,-0.251723,62116
13,0,3,0,2,0,0,0,1,0,hit,-0.370647,804
13,0,3,0,2,0,0,0,1,0,double,-0.702290,786
14,0,9,0,2,0,0,0,1,0,double,-0.880893,806
14,0,9,0,2,0,0,0,1,0,stand,-0.544081,794
14,0,9,0,2,0,0,0,1,0,hit,-0.443922,52980
15,0,10,0,2,0,0,0,1,0,stand,-0.540162,158569
15,0,10,0,2,0,0,0,1,0,hit,-0.506730,41681
15,0,10,0,2,0,0,0,1,0,double,-0.966378,1041
20,0,4,10,2,0,0,0,1,1,stand,0.660066,71611
20,0,4,10,2,0,0,0,1,1,split,0.406574,578
20,0,4,10,2,0,0,0,1,1,hit,-0.869231,650
20,0,4,10,2,0,0,0,1,1,double,-1.697819,642
8,0,10,0,2,0,0,0,1,0,stand,-0.525593,801
8,0,10,0,2,0,0,0,1,0,hit,-0.273055,65822
